freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.040e+02,3.450e+02,1.109e+01,4.601e+02
1.5,7.237e+01,2.103e+02,4.753e+01,3.302e+02
3.1,1.898e+01,2.987e+01,5.171e+01,1.006e+02
4.6,1.920e+01,3.588e+02,5.332e+01,4.313e+02
6.2,2.038e+01,1.303e+03,5.625e+01,1.380e+03
7.7,1.932e+01,2.181e+03,5.544e+01,2.255e+03
9.3,1.892e+01,3.162e+03,5.451e+01,3.236e+03
10.8,1.918e+01,4.532e+03,5.176e+01,4.603e+03
12.3,2.178e+01,6.631e+03,5.442e+01,6.707e+03
13.9,2.012e+01,9.284e+03,5.308e+01,9.358e+03
15.4,2.751e+01,1.232e+04,5.792e+01,1.241e+04
17.0,6.805e+01,1.476e+04,7.168e+01,1.490e+04
18.5,8.139e+01,1.567e+04,9.806e+01,1.585e+04
20.1,4.616e+01,1.835e+04,8.285e+01,1.848e+04
21.6,3.086e+01,2.436e+04,6.113e+01,2.445e+04
23.1,4.653e+01,3.295e+04,7.932e+01,3.308e+04
24.7,1.494e+02,4.449e+04,1.262e+02,4.477e+04
26.2,4.806e+02,5.967e+04,1.310e+02,6.028e+04
27.8,8.882e+02,7.246e+04,8.505e+01,7.343e+04
29.3,6.785e+02,8.699e+04,1.098e+02,8.777e+04
30.8,5.650e+02,1.109e+05,1.066e+02,1.116e+05
32.4,2.312e+03,1.469e+05,1.047e+02,1.493e+05
33.9,1.748e+04,1.712e+05,2.542e+02,1.889e+05
35.5,5.233e+04,1.476e+05,7.444e+02,2.006e+05
37.0,7.403e+04,1.276e+05,1.337e+03,2.030e+05
38.6,9.376e+04,1.326e+05,2.298e+03,2.287e+05
40.1,1.326e+05,1.588e+05,3.077e+03,2.945e+05
41.6,1.880e+05,2.384e+05,3.332e+03,4.297e+05
43.2,2.030e+05,3.380e+05,3.485e+03,5.445e+05
44.7,1.797e+05,4.150e+05,4.017e+03,5.988e+05
46.3,1.721e+05,5.174e+05,2.853e+03,6.924e+05
47.8,1.670e+05,5.891e+05,1.266e+03,7.573e+05
49.4,1.478e+05,5.291e+05,1.168e+03,6.780e+05
50.9,1.287e+05,4.398e+05,1.386e+03,5.698e+05
52.4,1.140e+05,3.816e+05,1.703e+03,4.973e+05
54.0,1.016e+05,3.355e+05,1.614e+03,4.387e+05
55.5,8.897e+04,2.919e+05,1.469e+03,3.824e+05
57.1,7.295e+04,2.407e+05,1.674e+03,3.153e+05
58.6,6.097e+04,2.001e+05,2.731e+03,2.638e+05
60.2,5.726e+04,1.890e+05,3.605e+03,2.499e+05
61.7,5.196e+04,1.736e+05,2.837e+03,2.284e+05
63.2,4.330e+04,1.503e+05,1.528e+03,1.951e+05
64.8,3.431e+04,1.276e+05,7.137e+02,1.627e+05
66.3,2.647e+04,1.070e+05,4.377e+02,1.339e+05
67.9,2.293e+04,9.646e+04,6.655e+02,1.200e+05
69.4,2.445e+04,1.022e+05,7.528e+02,1.274e+05
71.0,2.668e+04,1.129e+05,7.106e+02,1.403e+05
72.5,2.742e+04,1.194e+05,7.102e+02,1.475e+05
74.0,2.749e+04,1.194e+05,6.202e+02,1.475e+05
75.6,2.732e+04,1.144e+05,6.269e+02,1.423e+05
77.1,2.654e+04,1.068e+05,7.909e+02,1.342e+05
78.7,2.418e+04,9.570e+04,9.489e+02,1.208e+05
80.2,2.107e+04,8.181e+04,9.488e+02,1.038e+05
81.7,1.865e+04,7.151e+04,1.020e+03,9.118e+04
83.3,1.614e+04,6.244e+04,1.626e+03,8.021e+04
84.8,1.462e+04,6.010e+04,2.611e+03,7.734e+04
86.4,1.222e+04,6.573e+04,3.460e+03,8.141e+04
87.9,7.984e+03,7.247e+04,4.332e+03,8.478e+04
89.5,5.041e+03,7.398e+04,5.438e+03,8.446e+04
91.0,3.419e+03,6.780e+04,5.004e+03,7.622e+04
92.5,2.246e+03,6.051e+04,2.778e+03,6.554e+04
94.1,2.029e+03,5.725e+04,1.340e+03,6.062e+04
95.6,1.972e+03,5.162e+04,1.427e+03,5.502e+04
97.2,1.453e+03,4.567e+04,2.383e+03,4.951e+04
98.7,1.045e+03,4.182e+04,3.627e+03,4.649e+04
100.3,1.052e+03,4.200e+04,4.790e+03,4.784e+04
101.8,2.399e+03,4.497e+04,4.862e+03,5.224e+04
103.3,5.163e+03,4.728e+04,4.265e+03,5.670e+04
104.9,6.871e+03,4.552e+04,3.534e+03,5.593e+04
106.4,7.833e+03,4.430e+04,2.677e+03,5.481e+04
108.0,8.257e+03,4.436e+04,1.937e+03,5.455e+04
109.5,7.577e+03,4.357e+04,1.515e+03,5.266e+04
111.1,6.290e+03,4.190e+04,1.328e+03,4.952e+04
112.6,4.868e+03,3.843e+04,1.215e+03,4.451e+04
114.1,3.807e+03,3.517e+04,1.109e+03,4.009e+04
115.7,3.282e+03,3.297e+04,1.102e+03,3.735e+04
117.2,3.438e+03,3.196e+04,1.353e+03,3.675e+04
118.8,3.388e+03,3.077e+04,1.716e+03,3.588e+04
120.3,3.050e+03,2.903e+04,2.160e+03,3.424e+04
121.8,2.917e+03,2.765e+04,2.419e+03,3.298e+04
123.4,2.792e+03,2.616e+04,2.905e+03,3.185e+04
124.9,2.789e+03,2.543e+04,4.140e+03,3.236e+04
126.5,2.715e+03,2.467e+04,5.787e+03,3.317e+04
128.0,2.562e+03,2.347e+04,7.410e+03,3.344e+04
129.6,2.831e+03,2.293e+04,1.007e+04,3.583e+04
131.1,3.419e+03,2.319e+04,1.398e+04,4.059e+04
132.6,3.559e+03,1.640e+04,1.836e+04,3.831e+04
134.2,3.766e+03,5.017e+03,2.168e+04,3.047e+04
135.7,4.707e+03,2.792e+03,2.346e+04,3.096e+04
137.3,5.162e+03,2.583e+03,2.247e+04,3.021e+04
138.8,4.916e+03,2.324e+03,2.008e+04,2.732e+04
140.4,3.812e+03,2.314e+03,1.517e+04,2.129e+04
141.9,2.549e+03,2.170e+03,9.769e+03,1.449e+04
143.4,1.628e+03,1.990e+03,5.715e+03,9.333e+03
145.0,1.140e+03,1.949e+03,3.356e+03,6.445e+03
146.5,1.266e+03,2.113e+03,2.951e+03,6.329e+03
148.1,1.435e+03,2.280e+03,3.007e+03,6.722e+03
149.6,1.634e+03,2.320e+03,3.335e+03,7.289e+03
151.2,1.413e+03,2.587e+03,3.348e+03,7.347e+03
152.7,1.040e+03,2.792e+03,3.102e+03,6.933e+03
154.2,8.108e+02,2.897e+03,2.800e+03,6.507e+03
155.8,6.843e+02,2.986e+03,2.568e+03,6.238e+03
157.3,5.898e+02,2.957e+03,2.301e+03,5.848e+03
158.9,4.666e+02,2.884e+03,1.866e+03,5.217e+03
160.4,4.932e+02,2.736e+03,1.744e+03,4.973e+03
162.0,5.489e+02,2.637e+03,1.755e+03,4.940e+03
163.5,6.839e+02,2.715e+03,2.034e+03,5.433e+03
165.0,8.700e+02,2.838e+03,2.344e+03,6.051e+03
166.6,1.058e+03,3.087e+03,2.639e+03,6.783e+03
