freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.693e+01,2.100e+02,9.007e+00,2.459e+02
1.5,2.813e+01,1.309e+02,3.909e+01,1.981e+02
3.1,1.597e+01,2.891e+01,4.529e+01,9.018e+01
4.6,1.706e+01,3.344e+02,4.811e+01,3.995e+02
6.2,1.874e+01,1.236e+03,5.334e+01,1.308e+03
7.7,1.976e+01,2.100e+03,5.090e+01,2.170e+03
9.3,2.173e+01,3.073e+03,5.004e+01,3.145e+03
10.8,2.029e+01,4.505e+03,5.132e+01,4.577e+03
12.4,2.236e+01,6.707e+03,4.784e+01,6.777e+03
13.9,2.240e+01,9.587e+03,5.105e+01,9.660e+03
15.5,6.248e+01,1.270e+04,5.524e+01,1.282e+04
17.0,1.577e+02,1.298e+04,6.465e+01,1.321e+04
18.5,1.445e+02,1.453e+04,6.009e+01,1.473e+04
20.1,8.990e+01,2.005e+04,5.869e+01,2.020e+04
21.6,5.194e+01,2.735e+04,6.524e+01,2.747e+04
23.2,5.055e+01,3.629e+04,5.541e+01,3.640e+04
24.7,2.190e+02,4.717e+04,6.140e+01,4.745e+04
26.3,4.805e+02,5.657e+04,9.420e+01,5.715e+04
27.8,5.974e+02,6.781e+04,1.065e+02,6.851e+04
29.4,4.083e+02,9.357e+04,1.412e+02,9.412e+04
30.9,2.071e+02,1.239e+05,2.000e+02,1.243e+05
32.5,7.701e+02,1.594e+05,1.751e+02,1.603e+05
34.0,4.381e+03,2.195e+05,1.940e+02,2.241e+05
35.6,9.959e+03,2.586e+05,1.698e+02,2.688e+05
37.1,1.393e+04,2.743e+05,2.482e+02,2.884e+05
38.6,1.640e+04,2.424e+05,5.019e+02,2.593e+05
40.2,1.572e+04,1.800e+05,5.671e+02,1.963e+05
41.7,1.657e+04,1.344e+05,4.465e+02,1.514e+05
43.3,2.154e+04,1.064e+05,4.747e+02,1.284e+05
44.8,3.157e+04,8.855e+04,6.080e+02,1.207e+05
46.4,3.757e+04,7.962e+04,1.083e+03,1.183e+05
47.9,3.906e+04,7.081e+04,1.541e+03,1.114e+05
49.5,3.910e+04,6.298e+04,1.829e+03,1.039e+05
51.0,3.658e+04,5.828e+04,1.312e+03,9.617e+04
52.6,3.809e+04,6.039e+04,8.216e+02,9.931e+04
54.1,4.193e+04,6.409e+04,1.211e+03,1.072e+05
55.6,4.275e+04,6.511e+04,1.860e+03,1.097e+05
57.2,4.135e+04,6.314e+04,2.684e+03,1.072e+05
58.7,4.406e+04,6.840e+04,2.924e+03,1.154e+05
60.3,4.747e+04,8.003e+04,2.799e+03,1.303e+05
61.8,4.280e+04,7.883e+04,2.348e+03,1.240e+05
63.4,3.713e+04,7.257e+04,1.887e+03,1.116e+05
64.9,3.682e+04,7.462e+04,1.805e+03,1.132e+05
66.5,3.709e+04,7.867e+04,1.493e+03,1.173e+05
68.0,3.615e+04,7.911e+04,1.255e+03,1.165e+05
69.6,3.627e+04,8.230e+04,1.212e+03,1.198e+05
71.1,3.605e+04,8.333e+04,1.487e+03,1.209e+05
72.6,3.403e+04,7.922e+04,1.702e+03,1.150e+05
74.2,2.979e+04,7.008e+04,1.515e+03,1.014e+05
75.7,2.415e+04,5.693e+04,1.268e+03,8.235e+04
77.3,1.886e+04,4.533e+04,8.355e+02,6.503e+04
78.8,1.490e+04,3.709e+04,4.593e+02,5.245e+04
80.4,1.247e+04,3.196e+04,3.184e+02,4.474e+04
81.9,1.093e+04,2.780e+04,2.780e+02,3.901e+04
83.5,8.987e+03,2.337e+04,2.940e+02,3.265e+04
85.0,7.424e+03,2.041e+04,3.789e+02,2.822e+04
86.6,6.561e+03,1.979e+04,4.476e+02,2.680e+04
88.1,6.503e+03,2.088e+04,4.597e+02,2.785e+04
