freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.046e+02,3.554e+02,1.548e+01,4.755e+02
1.6,9.198e+01,2.134e+02,5.804e+01,3.635e+02
3.1,4.881e+01,5.009e+01,6.590e+01,1.648e+02
4.7,5.690e+01,3.772e+02,7.316e+01,5.072e+02
6.2,5.424e+01,1.232e+03,6.852e+01,1.355e+03
7.8,5.031e+01,2.008e+03,6.848e+01,2.127e+03
9.3,5.362e+01,2.861e+03,6.755e+01,2.982e+03
10.9,5.476e+01,4.012e+03,6.896e+01,4.136e+03
12.4,4.848e+01,5.878e+03,6.711e+01,5.994e+03
14.0,6.049e+01,8.271e+03,6.861e+01,8.400e+03
15.6,6.265e+01,1.126e+04,7.750e+01,1.140e+04
17.1,1.099e+02,1.304e+04,8.215e+01,1.323e+04
18.7,1.019e+02,1.342e+04,1.076e+02,1.363e+04
20.2,7.138e+01,1.585e+04,9.781e+01,1.602e+04
21.8,5.826e+01,2.053e+04,7.406e+01,2.067e+04
23.3,6.874e+01,2.655e+04,7.581e+01,2.670e+04
24.9,1.201e+02,3.430e+04,9.796e+01,3.452e+04
26.4,2.625e+02,4.475e+04,1.202e+02,4.513e+04
28.0,6.896e+02,5.696e+04,2.186e+02,5.787e+04
29.5,1.125e+03,7.088e+04,3.471e+02,7.235e+04
31.1,1.979e+03,8.998e+04,2.842e+02,9.225e+04
32.7,3.516e+03,1.103e+05,1.919e+02,1.140e+05
34.2,4.250e+03,1.075e+05,2.935e+02,1.120e+05
35.8,7.803e+03,1.030e+05,3.304e+02,1.111e+05
37.3,2.617e+04,1.129e+05,3.185e+02,1.394e+05
38.9,6.481e+04,1.166e+05,4.514e+02,1.819e+05
40.4,1.106e+05,1.285e+05,6.473e+02,2.397e+05
42.0,1.440e+05,1.648e+05,8.427e+02,3.096e+05
43.5,1.453e+05,2.125e+05,9.585e+02,3.587e+05
45.1,1.740e+05,3.298e+05,1.675e+03,5.055e+05
46.7,2.528e+05,6.004e+05,4.884e+03,8.581e+05
48.2,3.003e+05,8.592e+05,8.231e+03,1.168e+06
49.8,2.602e+05,8.849e+05,1.153e+04,1.157e+06
51.3,2.120e+05,7.916e+05,1.123e+04,1.015e+06
52.9,1.805e+05,6.545e+05,7.479e+03,8.424e+05
54.4,1.612e+05,5.485e+05,5.005e+03,7.146e+05
56.0,1.326e+05,4.466e+05,4.373e+03,5.835e+05
57.5,1.044e+05,3.584e+05,3.589e+03,4.664e+05
59.1,9.000e+04,3.147e+05,5.490e+03,4.102e+05
60.7,8.446e+04,2.943e+05,7.245e+03,3.860e+05
62.2,7.450e+04,2.597e+05,4.850e+03,3.391e+05
63.8,6.108e+04,2.189e+05,2.492e+03,2.825e+05
65.3,4.971e+04,1.872e+05,1.445e+03,2.383e+05
66.9,4.034e+04,1.613e+05,7.438e+02,2.024e+05
68.4,3.275e+04,1.373e+05,3.290e+02,1.704e+05
70.0,3.052e+04,1.282e+05,3.234e+02,1.591e+05
71.5,3.025e+04,1.242e+05,3.835e+02,1.549e+05
73.1,2.956e+04,1.200e+05,4.519e+02,1.500e+05
74.6,2.902e+04,1.146e+05,5.926e+02,1.442e+05
76.2,2.795e+04,1.062e+05,7.200e+02,1.348e+05
77.8,2.625e+04,9.518e+04,6.596e+02,1.221e+05
79.3,2.342e+04,8.843e+04,8.196e+02,1.127e+05
80.9,1.909e+04,8.167e+04,1.268e+03,1.020e+05
82.4,1.526e+04,7.460e+04,1.727e+03,9.159e+04
84.0,1.250e+04,7.662e+04,2.116e+03,9.124e+04
85.5,1.028e+04,8.573e+04,2.606e+03,9.861e+04
87.1,7.750e+03,9.462e+04,2.995e+03,1.054e+05
88.6,5.000e+03,9.780e+04,3.230e+03,1.060e+05
90.2,2.990e+03,9.447e+04,3.671e+03,1.011e+05
91.8,1.760e+03,8.735e+04,3.989e+03,9.310e+04
93.3,1.499e+03,8.185e+04,4.846e+03,8.819e+04
94.9,2.985e+03,7.730e+04,6.582e+03,8.687e+04
96.4,6.300e+03,7.445e+04,7.646e+03,8.840e+04
98.0,8.963e+03,7.209e+04,7.946e+03,8.900e+04
99.5,9.815e+03,6.961e+04,7.337e+03,8.676e+04
101.1,9.533e+03,6.371e+04,5.221e+03,7.847e+04
102.6,8.438e+03,5.605e+04,2.255e+03,6.674e+04
104.2,6.934e+03,4.802e+04,9.057e+02,5.586e+04
105.8,5.772e+03,4.340e+04,1.115e+03,5.029e+04
107.3,5.019e+03,4.095e+04,1.984e+03,4.795e+04
