freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.754e+00,4.230e+00,1.105e+02,1.185e+02
1.5,1.570e+01,1.633e+01,9.687e+01,1.289e+02
3.1,1.800e+01,2.005e+01,5.684e+01,9.489e+01
4.6,1.773e+01,2.051e+01,3.842e+02,4.224e+02
6.2,1.654e+01,2.223e+01,1.233e+03,1.272e+03
7.7,1.600e+01,1.944e+01,1.967e+03,2.002e+03
9.3,1.689e+01,2.000e+01,2.715e+03,2.752e+03
10.8,1.872e+01,1.975e+01,3.519e+03,3.557e+03
12.4,1.706e+01,1.938e+01,4.416e+03,4.453e+03
13.9,1.685e+01,2.022e+01,5.664e+03,5.701e+03
15.5,1.929e+01,2.079e+01,7.517e+03,7.557e+03
17.0,1.898e+01,2.824e+01,1.014e+04,1.019e+04
18.6,1.991e+01,3.711e+01,1.358e+04,1.364e+04
20.1,2.033e+01,3.622e+01,1.544e+04,1.550e+04
21.6,1.903e+01,2.417e+01,1.626e+04,1.630e+04
23.2,1.775e+01,2.917e+01,1.926e+04,1.931e+04
24.7,1.905e+01,3.487e+01,2.306e+04,2.312e+04
26.3,2.350e+01,4.632e+01,2.658e+04,2.665e+04
27.8,2.606e+01,4.713e+01,2.864e+04,2.871e+04
29.4,3.111e+01,4.954e+01,3.356e+04,3.365e+04
30.9,3.012e+01,4.751e+01,3.848e+04,3.856e+04
32.5,3.705e+01,2.944e+01,4.034e+04,4.041e+04
34.0,5.705e+01,2.915e+01,4.510e+04,4.519e+04
35.6,8.801e+01,6.348e+01,5.220e+04,5.236e+04
37.1,1.356e+02,1.100e+02,6.505e+04,6.530e+04
38.7,2.557e+02,1.394e+02,7.337e+04,7.376e+04
40.2,2.441e+02,2.137e+02,7.218e+04,7.264e+04
41.7,1.205e+02,3.324e+02,7.985e+04,8.030e+04
43.3,1.236e+02,4.694e+02,8.253e+04,8.312e+04
44.8,1.664e+02,6.172e+02,8.219e+04,8.298e+04
46.4,1.761e+02,8.677e+02,1.030e+05,1.040e+05
47.9,1.514e+02,1.100e+03,1.318e+05,1.331e+05
49.5,2.021e+02,9.276e+02,1.329e+05,1.340e+05
51.0,3.906e+02,8.778e+02,1.360e+05,1.372e+05
52.6,6.765e+02,1.183e+03,1.618e+05,1.636e+05
54.1,1.046e+03,1.566e+03,1.763e+05,1.790e+05
55.7,1.102e+03,1.655e+03,1.680e+05,1.708e+05
57.2,7.986e+02,1.284e+03,1.190e+05,1.211e+05
58.8,5.647e+02,7.998e+02,7.189e+04,7.326e+04
60.3,3.689e+02,6.185e+02,5.770e+04,5.869e+04
61.9,2.397e+02,5.254e+02,4.186e+04,4.263e+04
63.4,1.826e+02,3.998e+02,2.951e+04,3.009e+04
64.9,1.212e+02,3.225e+02,2.316e+04,2.360e+04
66.5,8.083e+01,2.273e+02,1.670e+04,1.700e+04
68.0,8.674e+01,1.942e+02,1.381e+04,1.409e+04
69.6,1.006e+02,2.047e+02,1.482e+04,1.513e+04
71.1,1.144e+02,2.072e+02,1.591e+04,1.623e+04
72.7,1.133e+02,1.191e+02,1.654e+04,1.677e+04
74.2,1.217e+02,6.206e+01,1.587e+04,1.605e+04
75.8,1.518e+02,8.708e+01,1.309e+04,1.333e+04
77.3,1.641e+02,1.254e+02,1.054e+04,1.083e+04
78.9,2.152e+02,1.782e+02,7.915e+03,8.308e+03
80.4,2.047e+02,1.523e+02,6.126e+03,6.483e+03
82.0,2.641e+02,1.655e+02,5.287e+03,5.716e+03
83.5,2.855e+02,1.905e+02,5.058e+03,5.534e+03
85.0,2.120e+02,1.242e+02,5.993e+03,6.329e+03
86.6,1.166e+02,5.540e+01,7.186e+03,7.358e+03
88.1,1.140e+02,8.410e+01,8.018e+03,8.216e+03
89.7,2.217e+02,2.209e+02,8.410e+03,8.853e+03
91.2,2.624e+02,2.427e+02,8.992e+03,9.497e+03
92.8,3.244e+02,2.248e+02,9.363e+03,9.913e+03
94.3,4.582e+02,3.377e+02,9.841e+03,1.064e+04
95.9,7.151e+02,5.573e+02,1.019e+04,1.146e+04
97.4,8.668e+02,7.666e+02,1.013e+04,1.177e+04
99.0,7.634e+02,9.098e+02,1.052e+04,1.219e+04
100.5,5.212e+02,1.028e+03,1.126e+04,1.281e+04
102.1,3.103e+02,1.084e+03,1.208e+04,1.347e+04
103.6,1.992e+02,9.646e+02,1.174e+04,1.291e+04
105.1,1.711e+02,9.470e+02,9.448e+03,1.057e+04
106.7,1.910e+02,1.358e+03,7.927e+03,9.476e+03
108.2,3.394e+02,1.814e+03,7.144e+03,9.297e+03
109.8,6.185e+02,2.161e+03,6.486e+03,9.266e+03
111.3,8.566e+02,2.371e+03,6.147e+03,9.375e+03
112.9,9.434e+02,2.813e+03,6.207e+03,9.964e+03
114.4,9.932e+02,3.461e+03,6.314e+03,1.077e+04
116.0,1.123e+03,4.265e+03,6.671e+03,1.206e+04
117.5,1.298e+03,5.071e+03,7.435e+03,1.380e+04
119.1,1.530e+03,5.830e+03,8.093e+03,1.545e+04
120.6,1.714e+03,6.934e+03,8.644e+03,1.729e+04
122.2,1.880e+03,8.828e+03,9.495e+03,2.020e+04
123.7,2.346e+03,1.156e+04,1.110e+04,2.500e+04
125.2,2.827e+03,1.406e+04,1.279e+04,2.968e+04
126.8,3.227e+03,1.692e+04,1.458e+04,3.473e+04
128.3,3.630e+03,2.016e+04,1.619e+04,3.998e+04
129.9,3.958e+03,2.168e+04,1.587e+04,4.151e+04
131.4,4.067e+03,2.369e+04,1.488e+04,4.264e+04
133.0,2.292e+03,1.356e+04,7.858e+03,2.371e+04
134.5,7.676e+02,3.465e+03,2.003e+03,6.235e+03
136.1,7.392e+02,2.766e+03,1.464e+03,4.968e+03
137.6,8.157e+02,2.734e+03,1.296e+03,4.845e+03
139.2,8.706e+02,2.718e+03,1.119e+03,4.708e+03
140.7,8.869e+02,2.624e+03,1.030e+03,4.541e+03
142.3,8.398e+02,2.329e+03,1.040e+03,4.208e+03
143.8,7.964e+02,1.994e+03,1.101e+03,3.891e+03
145.3,7.929e+02,1.688e+03,1.089e+03,3.569e+03
146.9,8.014e+02,1.486e+03,1.062e+03,3.349e+03
148.4,8.076e+02,1.406e+03,1.005e+03,3.219e+03
150.0,8.052e+02,1.367e+03,9.225e+02,3.095e+03
151.5,8.281e+02,1.456e+03,7.326e+02,3.017e+03
153.1,9.749e+02,1.631e+03,5.822e+02,3.188e+03
154.6,1.139e+03,1.857e+03,4.479e+02,3.444e+03
156.2,1.218e+03,2.223e+03,3.678e+02,3.809e+03
157.7,1.185e+03,2.709e+03,3.022e+02,4.196e+03
159.3,1.132e+03,3.063e+03,2.552e+02,4.450e+03
160.8,1.102e+03,3.266e+03,2.181e+02,4.586e+03
162.4,1.044e+03,3.120e+03,1.704e+02,4.335e+03
163.9,9.870e+02,2.987e+03,1.303e+02,4.104e+03
165.5,9.442e+02,2.777e+03,1.001e+02,3.821e+03
167.0,9.043e+02,2.543e+03,8.932e+01,3.536e+03
168.5,8.474e+02,2.306e+03,9.544e+01,3.248e+03
170.1,7.158e+02,1.917e+03,9.588e+01,2.729e+03
171.6,5.036e+02,1.386e+03,9.920e+01,1.989e+03
173.2,3.913e+02,1.070e+03,1.097e+02,1.571e+03
174.7,3.540e+02,9.377e+02,1.238e+02,1.416e+03
176.3,3.254e+02,7.650e+02,1.307e+02,1.221e+03
177.8,2.599e+02,4.979e+02,1.302e+02,8.881e+02
179.4,2.342e+02,3.569e+02,1.500e+02,7.410e+02
180.9,2.443e+02,3.217e+02,1.590e+02,7.251e+02
182.5,2.363e+02,2.486e+02,1.734e+02,6.584e+02
184.0,2.411e+02,2.110e+02,1.851e+02,6.372e+02
185.6,2.355e+02,1.963e+02,1.671e+02,5.989e+02
187.1,2.690e+02,1.838e+02,1.875e+02,6.403e+02
188.6,3.840e+02,2.347e+02,2.540e+02,8.727e+02
190.2,5.131e+02,3.254e+02,3.268e+02,1.165e+03
191.7,6.207e+02,4.181e+02,4.188e+02,1.458e+03
193.3,7.555e+02,4.820e+02,5.463e+02,1.784e+03
