freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.203e+01,1.746e+01,3.428e+02,3.722e+02
1.5,2.333e+01,3.249e+01,2.191e+02,2.749e+02
3.1,2.165e+01,3.037e+01,5.605e+01,1.081e+02
4.6,2.350e+01,2.863e+01,3.719e+02,4.240e+02
6.1,2.274e+01,3.150e+01,1.219e+03,1.273e+03
7.7,2.387e+01,3.149e+01,1.985e+03,2.040e+03
9.2,2.388e+01,3.134e+01,2.844e+03,2.899e+03
10.8,2.404e+01,3.188e+01,3.848e+03,3.904e+03
12.3,2.219e+01,3.385e+01,5.067e+03,5.124e+03
13.8,2.080e+01,3.365e+01,6.572e+03,6.626e+03
15.4,2.189e+01,3.493e+01,8.692e+03,8.748e+03
16.9,2.206e+01,3.504e+01,1.127e+04,1.132e+04
18.4,2.272e+01,3.385e+01,1.337e+04,1.343e+04
20.0,2.276e+01,3.353e+01,1.507e+04,1.513e+04
21.5,2.281e+01,3.186e+01,1.785e+04,1.790e+04
23.1,2.198e+01,3.198e+01,2.209e+04,2.214e+04
24.6,2.188e+01,3.929e+01,2.803e+04,2.810e+04
26.1,2.420e+01,4.515e+01,3.214e+04,3.221e+04
27.7,3.286e+01,4.527e+01,3.420e+04,3.427e+04
29.2,5.026e+01,4.549e+01,3.871e+04,3.880e+04
30.7,5.199e+01,5.002e+01,4.616e+04,4.626e+04
32.3,3.323e+01,5.589e+01,5.541e+04,5.550e+04
33.8,2.673e+01,6.573e+01,6.908e+04,6.917e+04
35.4,3.219e+01,9.777e+01,8.602e+04,8.615e+04
36.9,4.507e+01,1.738e+02,1.077e+05,1.079e+05
38.4,6.125e+01,3.126e+02,1.383e+05,1.387e+05
40.0,7.286e+01,4.727e+02,1.707e+05,1.713e+05
41.5,1.240e+02,6.594e+02,2.194e+05,2.202e+05
43.0,7.774e+02,9.862e+02,2.931e+05,2.948e+05
44.6,3.031e+03,1.827e+03,4.022e+05,4.070e+05
46.1,7.958e+03,4.151e+03,5.883e+05,6.005e+05
47.6,1.355e+04,7.297e+03,7.346e+05,7.554e+05
49.2,1.809e+04,1.042e+04,8.081e+05,8.366e+05
50.7,1.985e+04,1.443e+04,9.294e+05,9.636e+05
52.3,1.642e+04,1.688e+04,9.860e+05,1.019e+06
53.8,1.149e+04,1.496e+04,8.107e+05,8.371e+05
55.3,9.553e+03,1.312e+04,5.843e+05,6.069e+05
56.9,8.184e+03,8.275e+03,3.754e+05,3.918e+05
58.4,4.793e+03,4.878e+03,2.532e+05,2.629e+05
59.9,3.701e+03,4.085e+03,1.953e+05,2.031e+05
61.5,3.198e+03,3.906e+03,1.655e+05,1.726e+05
63.0,2.869e+03,4.178e+03,1.658e+05,1.728e+05
64.6,2.395e+03,3.802e+03,1.515e+05,1.577e+05
66.1,1.608e+03,3.229e+03,1.336e+05,1.384e+05
67.6,9.666e+02,2.775e+03,1.103e+05,1.140e+05
69.2,8.571e+02,3.028e+03,1.021e+05,1.060e+05
70.7,7.785e+02,3.337e+03,9.644e+04,1.006e+05
72.2,7.156e+02,3.864e+03,8.904e+04,9.362e+04
73.8,6.827e+02,3.861e+03,7.471e+04,7.926e+04
75.3,5.841e+02,3.292e+03,5.538e+04,5.926e+04
76.9,5.793e+02,3.138e+03,4.350e+04,4.722e+04
78.4,7.101e+02,3.190e+03,3.742e+04,4.132e+04
79.9,1.026e+03,4.037e+03,4.070e+04,4.577e+04
81.5,1.677e+03,6.861e+03,5.390e+04,6.243e+04
83.0,2.853e+03,1.111e+04,6.738e+04,8.134e+04
84.5,3.063e+03,1.139e+04,7.246e+04,8.692e+04
86.1,3.801e+03,1.277e+04,7.464e+04,9.120e+04
87.6,4.369e+03,1.465e+04,7.836e+04,9.738e+04
89.1,4.672e+03,1.585e+04,8.036e+04,1.009e+05
90.7,5.567e+03,1.843e+04,7.929e+04,1.033e+05
92.2,6.465e+03,2.129e+04,7.595e+04,1.037e+05
93.8,5.813e+03,2.219e+04,7.108e+04,9.908e+04
95.3,4.593e+03,2.031e+04,6.246e+04,8.736e+04
96.8,3.441e+03,1.765e+04,5.395e+04,7.504e+04
98.4,1.989e+03,1.499e+04,4.574e+04,6.271e+04
99.9,8.656e+02,1.226e+04,3.646e+04,4.959e+04
101.4,5.231e+02,1.363e+04,2.836e+04,4.251e+04
103.0,1.373e+03,2.161e+04,2.275e+04,4.573e+04
104.5,3.316e+03,3.124e+04,1.879e+04,5.335e+04
106.1,5.775e+03,4.134e+04,1.702e+04,6.414e+04
107.6,7.768e+03,5.025e+04,1.683e+04,7.484e+04
109.1,8.951e+03,5.528e+04,1.692e+04,8.114e+04
110.7,1.010e+04,5.734e+04,1.768e+04,8.512e+04
112.2,1.042e+04,5.548e+04,1.784e+04,8.374e+04
113.7,1.012e+04,5.302e+04,1.650e+04,7.964e+04
115.3,1.038e+04,5.400e+04,1.426e+04,7.864e+04
116.8,1.105e+04,5.763e+04,1.251e+04,8.119e+04
118.4,1.128e+04,5.994e+04,1.105e+04,8.227e+04
119.9,1.103e+04,6.079e+04,9.695e+03,8.152e+04
121.4,1.038e+04,6.075e+04,8.153e+03,7.928e+04
123.0,1.023e+04,6.199e+04,6.642e+03,7.886e+04
124.5,1.090e+04,6.488e+04,5.453e+03,8.123e+04
126.0,1.155e+04,6.611e+04,4.443e+03,8.210e+04
127.6,1.252e+04,6.616e+04,3.804e+03,8.248e+04
129.1,1.358e+04,6.536e+04,3.307e+03,8.225e+04
130.6,1.477e+04,6.585e+04,3.054e+03,8.367e+04
132.2,1.362e+04,5.655e+04,2.999e+03,7.317e+04
133.7,5.114e+03,1.918e+04,2.461e+03,2.676e+04
135.3,2.229e+03,8.135e+03,2.185e+03,1.255e+04
136.8,2.432e+03,8.179e+03,2.691e+03,1.330e+04
138.3,3.123e+03,8.429e+03,4.167e+03,1.572e+04
139.9,3.655e+03,8.689e+03,5.499e+03,1.784e+04
141.4,3.751e+03,8.316e+03,5.911e+03,1.798e+04
142.9,4.276e+03,7.860e+03,6.643e+03,1.878e+04
144.5,5.111e+03,7.910e+03,8.362e+03,2.138e+04
146.0,6.326e+03,7.532e+03,1.037e+04,2.423e+04
147.6,8.014e+03,7.063e+03,1.212e+04,2.720e+04
149.1,9.726e+03,7.046e+03,1.536e+04,3.214e+04
150.6,1.018e+04,6.693e+03,1.767e+04,3.454e+04
152.2,9.705e+03,5.293e+03,1.825e+04,3.325e+04
153.7,8.456e+03,4.704e+03,1.808e+04,3.124e+04
155.2,6.634e+03,4.675e+03,1.635e+04,2.766e+04
156.8,6.122e+03,4.752e+03,1.563e+04,2.651e+04
158.3,5.821e+03,4.821e+03,1.570e+04,2.634e+04
159.8,5.699e+03,4.637e+03,1.537e+04,2.571e+04
161.4,5.478e+03,4.318e+03,1.435e+04,2.414e+04
162.9,5.376e+03,3.894e+03,1.384e+04,2.311e+04
164.5,5.957e+03,4.056e+03,1.519e+04,2.520e+04
166.0,7.562e+03,5.144e+03,1.909e+04,3.180e+04
167.5,1.006e+04,6.670e+03,2.598e+04,4.272e+04
169.1,1.190e+04,6.947e+03,3.115e+04,5.000e+04
170.6,1.556e+04,8.639e+03,4.253e+04,6.673e+04
172.1,2.183e+04,1.175e+04,6.302e+04,9.660e+04
173.7,2.395e+04,1.231e+04,7.053e+04,1.068e+05
175.2,2.155e+04,1.047e+04,6.316e+04,9.519e+04
176.8,1.866e+04,8.703e+03,5.452e+04,8.187e+04
178.3,1.510e+04,6.844e+03,4.377e+04,6.571e+04
179.8,1.356e+04,6.230e+03,3.867e+04,5.846e+04
181.4,1.285e+04,5.888e+03,3.695e+04,5.569e+04
182.9,1.274e+04,5.894e+03,3.764e+04,5.628e+04
184.4,1.197e+04,5.709e+03,3.590e+04,5.358e+04
186.0,1.132e+04,5.503e+03,3.437e+04,5.119e+04
187.5,1.092e+04,5.241e+03,3.369e+04,4.986e+04
189.1,1.039e+04,5.130e+03,3.242e+04,4.794e+04
190.6,1.011e+04,4.980e+03,3.195e+04,4.704e+04
192.1,9.408e+03,4.554e+03,3.039e+04,4.435e+04
193.7,9.519e+03,4.339e+03,3.165e+04,4.551e+04
195.2,9.718e+03,4.182e+03,3.219e+04,4.609e+04
196.7,8.718e+03,3.634e+03,2.868e+04,4.104e+04
198.3,8.284e+03,3.311e+03,2.742e+04,3.901e+04
199.8,9.454e+03,3.512e+03,3.204e+04,4.501e+04
