freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.319e+01,2.791e+02,1.072e+01,3.530e+02
1.5,4.808e+01,1.764e+02,4.121e+01,2.657e+02
3.1,1.900e+01,3.398e+01,4.698e+01,9.996e+01
4.6,1.893e+01,3.812e+02,5.256e+01,4.527e+02
6.2,1.979e+01,1.409e+03,4.673e+01,1.476e+03
7.7,2.070e+01,2.084e+03,5.390e+01,2.159e+03
9.3,2.053e+01,2.670e+03,5.474e+01,2.745e+03
10.8,1.896e+01,4.178e+03,5.304e+01,4.250e+03
12.4,1.874e+01,5.904e+03,5.079e+01,5.973e+03
13.9,2.280e+01,7.183e+03,4.788e+01,7.253e+03
15.5,2.416e+01,9.151e+03,5.302e+01,9.228e+03
17.0,2.297e+01,1.201e+04,5.543e+01,1.209e+04
18.6,2.293e+01,1.544e+04,5.176e+01,1.552e+04
20.1,2.708e+01,1.920e+04,4.829e+01,1.928e+04
21.7,3.401e+01,2.394e+04,4.999e+01,2.402e+04
23.2,4.954e+01,3.041e+04,5.322e+01,3.051e+04
24.8,9.280e+01,3.962e+04,5.214e+01,3.977e+04
26.3,2.082e+02,5.233e+04,6.253e+01,5.260e+04
27.9,4.278e+02,6.727e+04,1.023e+02,6.780e+04
29.4,9.596e+02,8.305e+04,1.534e+02,8.417e+04
31.0,1.708e+03,9.295e+04,1.680e+02,9.483e+04
32.5,3.696e+03,1.186e+05,1.348e+02,1.224e+05
34.1,9.103e+03,1.512e+05,1.012e+02,1.604e+05
35.6,1.567e+04,1.582e+05,1.144e+02,1.739e+05
37.2,2.155e+04,1.410e+05,1.068e+02,1.627e+05
38.7,3.709e+04,1.045e+05,1.211e+02,1.417e+05
40.3,5.105e+04,9.156e+04,1.956e+02,1.428e+05
41.8,8.009e+04,1.147e+05,4.166e+02,1.952e+05
43.4,8.726e+04,1.246e+05,3.134e+02,2.122e+05
44.9,9.511e+04,1.581e+05,2.542e+02,2.534e+05
46.5,1.564e+05,3.444e+05,1.031e+03,5.019e+05
48.0,1.915e+05,5.144e+05,3.402e+03,7.093e+05
49.6,1.516e+05,4.309e+05,5.193e+03,5.877e+05
51.1,1.244e+05,3.360e+05,3.482e+03,4.639e+05
52.7,1.205e+05,3.282e+05,1.547e+03,4.502e+05
54.2,1.161e+05,3.189e+05,4.866e+02,4.355e+05
55.8,1.062e+05,3.057e+05,3.820e+02,4.122e+05
57.3,9.207e+04,2.702e+05,7.189e+02,3.630e+05
58.9,7.898e+04,2.271e+05,9.588e+02,3.070e+05
60.4,6.851e+04,1.965e+05,8.377e+02,2.659e+05
62.0,5.883e+04,1.673e+05,1.061e+03,2.272e+05
63.5,5.034e+04,1.450e+05,1.830e+03,1.972e+05
65.1,4.357e+04,1.312e+05,2.013e+03,1.768e+05
66.6,3.532e+04,1.084e+05,1.581e+03,1.453e+05
68.2,2.707e+04,8.341e+04,1.569e+03,1.120e+05
69.7,2.232e+04,7.284e+04,1.734e+03,9.690e+04
71.3,2.091e+04,7.256e+04,1.675e+03,9.515e+04
72.8,2.131e+04,7.346e+04,1.389e+03,9.616e+04
74.4,2.206e+04,7.556e+04,1.246e+03,9.887e+04
75.9,2.339e+04,7.799e+04,1.345e+03,1.027e+05
77.5,2.388e+04,7.598e+04,1.512e+03,1.014e+05
79.0,2.228e+04,6.906e+04,1.253e+03,9.259e+04
80.6,2.104e+04,6.226e+04,9.312e+02,8.424e+04
82.1,1.989e+04,5.953e+04,1.146e+03,8.057e+04
83.7,1.871e+04,5.904e+04,1.808e+03,7.956e+04
85.2,1.596e+04,5.585e+04,1.437e+03,7.325e+04
86.8,1.302e+04,6.232e+04,1.348e+03,7.668e+04
88.3,9.387e+03,7.261e+04,1.515e+03,8.351e+04
89.9,6.430e+03,8.354e+04,1.732e+03,9.170e+04
91.4,4.291e+03,8.794e+04,2.001e+03,9.423e+04
93.0,3.048e+03,9.432e+04,2.260e+03,9.963e+04
94.5,3.223e+03,1.083e+05,2.436e+03,1.140e+05
96.1,4.826e+03,1.055e+05,1.982e+03,1.124e+05
97.6,8.010e+03,9.437e+04,1.195e+03,1.036e+05
99.2,1.047e+04,7.875e+04,6.971e+02,8.992e+04
100.7,1.047e+04,7.479e+04,6.999e+02,8.596e+04
102.3,8.921e+03,7.636e+04,8.146e+02,8.609e+04
103.8,7.294e+03,7.256e+04,9.848e+02,8.084e+04
105.4,5.810e+03,6.473e+04,1.162e+03,7.170e+04
106.9,4.947e+03,6.286e+04,1.436e+03,6.925e+04
108.5,4.557e+03,6.258e+04,1.789e+03,6.893e+04
110.0,4.368e+03,6.172e+04,2.017e+03,6.811e+04
111.6,4.155e+03,6.059e+04,2.289e+03,6.704e+04
113.1,3.943e+03,6.030e+04,2.710e+03,6.695e+04
114.7,3.664e+03,6.176e+04,2.624e+03,6.805e+04
116.2,3.560e+03,6.312e+04,2.378e+03,6.906e+04
117.8,3.519e+03,6.242e+04,2.289e+03,6.823e+04
119.3,3.656e+03,6.213e+04,2.198e+03,6.798e+04
120.9,3.856e+03,6.375e+04,2.468e+03,7.007e+04
122.4,3.952e+03,6.502e+04,2.850e+03,7.183e+04
124.0,4.013e+03,6.455e+04,3.240e+03,7.181e+04
125.5,3.882e+03,6.321e+04,4.065e+03,7.116e+04
127.1,3.553e+03,6.150e+04,4.761e+03,6.981e+04
128.6,3.395e+03,5.893e+04,4.791e+03,6.711e+04
130.2,3.430e+03,5.672e+04,4.682e+03,6.483e+04
