freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.242e+01,2.763e+02,1.247e+01,3.512e+02
1.5,4.827e+01,1.677e+02,4.456e+01,2.605e+02
3.1,1.799e+01,2.949e+01,5.050e+01,9.798e+01
4.6,1.821e+01,3.681e+02,5.071e+01,4.371e+02
6.2,1.870e+01,1.376e+03,4.929e+01,1.444e+03
7.7,1.813e+01,2.092e+03,5.002e+01,2.160e+03
9.3,1.852e+01,2.653e+03,5.027e+01,2.722e+03
10.8,1.822e+01,3.980e+03,5.029e+01,4.049e+03
12.4,1.830e+01,5.644e+03,5.222e+01,5.715e+03
13.9,1.797e+01,6.966e+03,5.234e+01,7.036e+03
15.5,1.782e+01,8.794e+03,5.382e+01,8.866e+03
17.0,1.848e+01,1.148e+04,5.023e+01,1.155e+04
18.6,1.685e+01,1.458e+04,4.928e+01,1.465e+04
20.1,2.708e+01,1.819e+04,4.945e+01,1.827e+04
21.7,4.557e+01,2.273e+04,5.042e+01,2.283e+04
23.2,7.025e+01,2.869e+04,5.217e+01,2.881e+04
24.8,1.336e+02,3.690e+04,6.088e+01,3.709e+04
26.3,2.701e+02,4.761e+04,8.261e+01,4.797e+04
27.8,4.744e+02,6.111e+04,1.116e+02,6.170e+04
29.4,1.284e+03,8.026e+04,2.258e+02,8.177e+04
30.9,3.635e+03,9.860e+04,3.868e+02,1.026e+05
32.5,7.614e+03,1.044e+05,4.757e+02,1.125e+05
34.0,1.175e+04,1.082e+05,3.491e+02,1.203e+05
35.6,1.739e+04,1.174e+05,1.882e+02,1.350e+05
37.1,2.366e+04,1.336e+05,1.300e+02,1.573e+05
38.7,2.541e+04,1.359e+05,1.706e+02,1.615e+05
40.2,4.207e+04,1.233e+05,4.837e+02,1.658e+05
41.8,7.461e+04,1.436e+05,7.786e+02,2.190e+05
43.3,1.082e+05,2.140e+05,5.422e+02,3.227e+05
44.9,1.476e+05,3.356e+05,5.546e+02,4.838e+05
46.4,1.731e+05,4.748e+05,2.351e+03,6.503e+05
48.0,1.681e+05,5.522e+05,8.056e+03,7.284e+05
49.5,1.456e+05,5.081e+05,1.033e+04,6.641e+05
51.1,1.276e+05,4.274e+05,7.357e+03,5.623e+05
52.6,1.196e+05,3.863e+05,3.901e+03,5.099e+05
54.1,1.079e+05,3.439e+05,2.141e+03,4.540e+05
55.7,8.630e+04,2.891e+05,1.740e+03,3.772e+05
57.2,7.017e+04,2.541e+05,2.339e+03,3.266e+05
58.8,6.806e+04,2.398e+05,2.900e+03,3.108e+05
60.3,6.470e+04,2.272e+05,2.003e+03,2.939e+05
61.9,5.576e+04,1.922e+05,5.222e+02,2.485e+05
63.4,4.609e+04,1.586e+05,4.238e+02,2.051e+05
65.0,3.895e+04,1.383e+05,8.391e+02,1.781e+05
66.5,3.464e+04,1.253e+05,9.139e+02,1.608e+05
68.1,2.812e+04,1.034e+05,1.452e+03,1.329e+05
69.6,2.441e+04,9.840e+04,2.021e+03,1.248e+05
71.2,2.350e+04,1.023e+05,2.107e+03,1.279e+05
72.7,2.258e+04,1.052e+05,2.098e+03,1.299e+05
74.3,2.172e+04,1.126e+05,1.561e+03,1.358e+05
75.8,2.105e+04,1.136e+05,9.879e+02,1.356e+05
77.3,2.025e+04,1.067e+05,8.156e+02,1.278e+05
78.9,1.929e+04,9.953e+04,8.831e+02,1.197e+05
80.4,1.878e+04,9.160e+04,9.974e+02,1.114e+05
82.0,1.771e+04,7.999e+04,7.501e+02,9.845e+04
83.5,1.528e+04,6.998e+04,5.120e+02,8.578e+04
85.1,1.312e+04,6.964e+04,1.181e+03,8.394e+04
86.6,1.081e+04,7.571e+04,2.630e+03,8.915e+04
88.2,8.951e+03,8.104e+04,3.839e+03,9.383e+04
89.7,7.535e+03,8.238e+04,5.612e+03,9.552e+04
91.3,6.021e+03,8.196e+04,6.590e+03,9.457e+04
92.8,4.707e+03,8.301e+04,7.584e+03,9.530e+04
94.4,4.033e+03,8.718e+04,9.244e+03,1.005e+05
95.9,3.353e+03,8.499e+04,9.627e+03,9.797e+04
97.5,2.979e+03,7.958e+04,8.351e+03,9.092e+04
99.0,2.936e+03,7.149e+04,7.011e+03,8.143e+04
100.6,3.872e+03,5.921e+04,5.851e+03,6.894e+04
102.1,5.439e+03,4.788e+04,4.375e+03,5.770e+04
103.6,5.240e+03,5.185e+04,3.021e+03,6.011e+04
105.2,3.895e+03,5.124e+04,2.138e+03,5.728e+04
106.7,2.825e+03,5.229e+04,1.896e+03,5.701e+04
108.3,2.107e+03,5.279e+04,2.082e+03,5.698e+04
109.8,1.802e+03,6.005e+04,2.280e+03,6.413e+04
111.4,1.589e+03,6.950e+04,2.751e+03,7.384e+04
112.9,1.523e+03,7.092e+04,3.114e+03,7.556e+04
114.5,1.508e+03,7.081e+04,3.313e+03,7.563e+04
116.0,1.638e+03,7.039e+04,3.655e+03,7.568e+04
117.6,1.607e+03,6.839e+04,4.060e+03,7.405e+04
119.1,1.539e+03,6.609e+04,4.902e+03,7.253e+04
120.7,1.487e+03,6.345e+04,5.998e+03,7.094e+04
122.2,1.545e+03,6.111e+04,6.955e+03,6.961e+04
123.8,1.842e+03,6.025e+04,8.697e+03,7.079e+04
125.3,2.459e+03,5.967e+04,1.166e+04,7.379e+04
126.9,3.757e+03,4.770e+04,1.257e+04,6.403e+04
128.4,5.026e+03,3.671e+04,1.163e+04,5.336e+04
129.9,6.359e+03,3.016e+04,1.115e+04,4.768e+04
131.5,6.948e+03,2.542e+04,1.071e+04,4.308e+04
133.0,4.825e+03,1.364e+04,9.081e+03,2.755e+04
134.6,2.964e+03,1.891e+03,9.157e+03,1.401e+04
136.1,3.176e+03,4.296e+02,9.665e+03,1.327e+04
137.7,3.568e+03,3.405e+02,1.000e+04,1.391e+04
139.2,4.274e+03,4.919e+02,1.149e+04,1.625e+04
140.8,5.495e+03,8.536e+02,1.490e+04,2.125e+04
142.3,6.942e+03,1.078e+03,1.946e+04,2.748e+04
143.9,8.164e+03,1.034e+03,2.369e+04,3.289e+04
145.4,8.388e+03,8.165e+02,2.410e+04,3.330e+04
147.0,8.016e+03,6.995e+02,2.245e+04,3.116e+04
148.5,7.192e+03,6.345e+02,1.952e+04,2.735e+04
150.1,6.107e+03,6.303e+02,1.584e+04,2.258e+04
151.6,4.568e+03,6.595e+02,1.185e+04,1.708e+04
153.2,3.412e+03,6.994e+02,9.155e+03,1.327e+04
154.7,2.505e+03,9.320e+02,6.779e+03,1.022e+04
156.2,2.094e+03,1.335e+03,5.424e+03,8.852e+03
157.8,1.644e+03,1.986e+03,4.297e+03,7.927e+03
159.3,1.031e+03,2.881e+03,3.036e+03,6.948e+03
160.9,7.101e+02,3.354e+03,2.395e+03,6.459e+03
162.4,6.524e+02,3.341e+03,2.274e+03,6.268e+03
164.0,9.029e+02,3.044e+03,2.767e+03,6.714e+03
165.5,1.033e+03,2.897e+03,2.956e+03,6.886e+03
167.1,1.078e+03,2.897e+03,2.942e+03,6.917e+03
168.6,9.665e+02,2.901e+03,2.489e+03,6.357e+03
170.2,8.303e+02,2.945e+03,1.992e+03,5.767e+03
171.7,7.545e+02,3.037e+03,1.769e+03,5.560e+03
173.3,6.990e+02,3.267e+03,1.750e+03,5.716e+03
174.8,6.383e+02,3.518e+03,1.724e+03,5.881e+03
176.4,6.281e+02,3.667e+03,1.623e+03,5.918e+03
177.9,7.342e+02,3.608e+03,1.750e+03,6.092e+03
179.4,7.959e+02,3.853e+03,2.013e+03,6.662e+03
181.0,9.840e+02,4.239e+03,2.589e+03,7.812e+03
182.5,1.146e+03,4.552e+03,2.995e+03,8.693e+03
184.1,1.133e+03,4.419e+03,2.900e+03,8.452e+03
185.6,9.765e+02,4.237e+03,2.467e+03,7.681e+03
187.2,9.314e+02,4.290e+03,2.205e+03,7.426e+03
188.7,1.039e+03,4.133e+03,2.396e+03,7.568e+03
190.3,1.072e+03,3.841e+03,2.278e+03,7.192e+03
191.8,1.169e+03,3.512e+03,2.514e+03,7.195e+03
193.4,1.127e+03,3.464e+03,2.593e+03,7.183e+03
194.9,1.075e+03,3.763e+03,2.607e+03,7.445e+03
196.5,1.018e+03,3.015e+03,2.661e+03,6.694e+03
198.0,9.657e+02,2.538e+03,2.715e+03,6.219e+03
199.6,9.101e+02,2.874e+03,2.570e+03,6.354e+03
