freq,psd_x,psd_y,psd_z,psd_xyz
0.0,9.655e+00,1.597e+01,2.742e+02,2.998e+02
1.5,2.065e+01,3.053e+01,1.861e+02,2.373e+02
3.1,1.942e+01,2.958e+01,5.955e+01,1.086e+02
4.6,1.857e+01,3.201e+01,3.757e+02,4.263e+02
6.2,1.939e+01,2.999e+01,1.251e+03,1.300e+03
7.7,1.900e+01,2.932e+01,2.051e+03,2.099e+03
9.3,1.718e+01,2.942e+01,2.881e+03,2.928e+03
10.8,1.868e+01,2.910e+01,3.897e+03,3.945e+03
12.4,1.975e+01,2.840e+01,5.123e+03,5.172e+03
13.9,2.030e+01,2.597e+01,6.727e+03,6.773e+03
15.5,1.980e+01,2.882e+01,8.896e+03,8.945e+03
17.0,1.812e+01,3.495e+01,1.142e+04,1.147e+04
18.5,1.883e+01,3.765e+01,1.355e+04,1.361e+04
20.1,1.962e+01,3.794e+01,1.525e+04,1.530e+04
21.6,1.886e+01,3.880e+01,1.799e+04,1.804e+04
23.2,1.780e+01,3.942e+01,2.207e+04,2.212e+04
24.7,1.730e+01,5.225e+01,2.818e+04,2.825e+04
26.3,1.999e+01,6.844e+01,3.275e+04,3.283e+04
27.8,3.171e+01,6.607e+01,3.442e+04,3.451e+04
29.4,4.545e+01,6.451e+01,3.813e+04,3.824e+04
30.9,4.327e+01,7.268e+01,4.471e+04,4.482e+04
32.5,2.863e+01,9.279e+01,5.304e+04,5.316e+04
34.0,2.537e+01,1.277e+02,6.574e+04,6.589e+04
35.5,3.457e+01,2.056e+02,8.051e+04,8.075e+04
37.1,6.225e+01,3.612e+02,1.012e+05,1.016e+05
38.6,1.087e+02,5.771e+02,1.313e+05,1.320e+05
40.2,1.371e+02,7.978e+02,1.640e+05,1.650e+05
41.7,1.945e+02,1.237e+03,2.239e+05,2.253e+05
43.3,5.184e+02,2.051e+03,3.008e+05,3.033e+05
44.8,2.271e+03,4.439e+03,3.897e+05,3.964e+05
46.4,5.692e+03,7.453e+03,4.665e+05,4.797e+05
47.9,7.464e+03,7.401e+03,4.416e+05,4.565e+05
49.5,1.422e+04,1.040e+04,6.136e+05,6.382e+05
51.0,1.748e+04,1.607e+04,8.251e+05,8.587e+05
52.5,1.564e+04,1.724e+04,7.548e+05,7.876e+05
54.1,1.299e+04,1.454e+04,5.255e+05,5.530e+05
55.6,1.103e+04,1.265e+04,3.519e+05,3.756e+05
57.2,8.185e+03,8.460e+03,2.222e+05,2.389e+05
58.7,5.304e+03,5.632e+03,1.527e+05,1.637e+05
60.3,4.127e+03,4.110e+03,1.062e+05,1.145e+05
61.8,3.189e+03,2.852e+03,8.140e+04,8.744e+04
63.4,2.127e+03,2.007e+03,7.392e+04,7.806e+04
64.9,1.384e+03,1.564e+03,6.947e+04,7.242e+04
66.5,1.211e+03,1.472e+03,6.302e+04,6.570e+04
68.0,9.327e+02,1.243e+03,5.480e+04,5.698e+04
69.5,5.693e+02,1.225e+03,5.043e+04,5.222e+04
71.1,5.442e+02,1.928e+03,4.946e+04,5.194e+04
72.6,9.440e+02,3.020e+03,4.908e+04,5.305e+04
74.2,1.090e+03,3.134e+03,4.217e+04,4.640e+04
75.7,1.036e+03,2.486e+03,3.017e+04,3.369e+04
77.3,1.481e+03,2.775e+03,2.240e+04,2.665e+04
78.8,2.342e+03,3.365e+03,1.989e+04,2.559e+04
80.4,2.652e+03,3.278e+03,2.331e+04,2.924e+04
81.9,2.948e+03,5.079e+03,3.232e+04,4.035e+04
83.4,3.754e+03,8.755e+03,4.158e+04,5.409e+04
85.0,3.817e+03,1.024e+04,4.490e+04,5.895e+04
86.5,4.712e+03,1.329e+04,4.461e+04,6.261e+04
88.1,6.051e+03,1.559e+04,4.413e+04,6.577e+04
89.6,6.156e+03,1.479e+04,4.509e+04,6.604e+04
91.2,5.819e+03,1.482e+04,4.386e+04,6.450e+04
92.7,5.108e+03,1.485e+04,4.076e+04,6.071e+04
94.3,4.704e+03,1.449e+04,3.771e+04,5.690e+04
95.8,4.262e+03,1.307e+04,3.334e+04,5.067e+04
97.4,3.282e+03,1.068e+04,2.930e+04,4.326e+04
98.9,2.224e+03,8.606e+03,2.536e+04,3.619e+04
100.4,1.265e+03,7.719e+03,2.077e+04,2.975e+04
102.0,7.961e+02,9.620e+03,1.640e+04,2.681e+04
103.5,9.718e+02,1.405e+04,1.338e+04,2.840e+04
105.1,2.022e+03,1.805e+04,1.121e+04,3.128e+04
106.6,3.683e+03,2.409e+04,1.080e+04,3.857e+04
108.2,5.143e+03,2.957e+04,1.111e+04,4.583e+04
109.7,6.397e+03,3.401e+04,1.180e+04,5.220e+04
111.3,7.242e+03,3.622e+04,1.218e+04,5.565e+04
112.8,7.633e+03,3.634e+04,1.185e+04,5.582e+04
114.4,8.298e+03,3.642e+04,1.084e+04,5.555e+04
115.9,9.289e+03,3.743e+04,9.839e+03,5.656e+04
117.4,1.048e+04,3.947e+04,1.008e+04,6.003e+04
119.0,1.068e+04,3.971e+04,9.515e+03,5.991e+04
120.5,1.012e+04,3.957e+04,8.175e+03,5.786e+04
122.1,9.433e+03,4.001e+04,6.952e+03,5.640e+04
123.6,9.289e+03,4.006e+04,6.268e+03,5.562e+04
125.2,9.777e+03,3.939e+04,5.841e+03,5.501e+04
126.7,1.067e+04,4.203e+04,5.993e+03,5.870e+04
128.3,1.136e+04,4.692e+04,5.947e+03,6.422e+04
129.8,1.123e+04,4.894e+04,5.137e+03,6.531e+04
131.4,1.013e+04,4.426e+04,4.219e+03,5.861e+04
132.9,7.457e+03,2.570e+04,4.207e+03,3.737e+04
134.4,5.053e+03,8.435e+03,4.960e+03,1.845e+04
136.0,5.832e+03,8.768e+03,7.902e+03,2.250e+04
137.5,6.015e+03,9.741e+03,8.742e+03,2.450e+04
139.1,7.109e+03,1.110e+04,1.130e+04,2.951e+04
140.6,8.831e+03,1.367e+04,1.724e+04,3.974e+04
142.2,1.118e+04,1.476e+04,2.664e+04,5.258e+04
143.7,1.011e+04,1.365e+04,2.681e+04,5.058e+04
145.3,8.081e+03,1.241e+04,2.193e+04,4.242e+04
146.8,1.094e+04,1.199e+04,2.537e+04,4.830e+04
148.4,1.661e+04,1.298e+04,3.467e+04,6.426e+04
149.9,1.956e+04,1.425e+04,4.098e+04,7.479e+04
151.4,2.218e+04,1.567e+04,4.985e+04,8.770e+04
153.0,2.550e+04,1.598e+04,5.966e+04,1.011e+05
154.5,2.413e+04,1.416e+04,5.808e+04,9.637e+04
156.1,1.994e+04,1.165e+04,4.996e+04,8.155e+04
157.6,1.714e+04,9.517e+03,4.277e+04,6.943e+04
159.2,1.540e+04,8.488e+03,3.842e+04,6.231e+04
160.7,1.347e+04,7.904e+03,3.378e+04,5.515e+04
162.3,1.109e+04,7.104e+03,2.823e+04,4.642e+04
163.8,1.020e+04,6.662e+03,2.594e+04,4.280e+04
165.4,8.788e+03,5.643e+03,2.231e+04,3.674e+04
166.9,8.147e+03,4.984e+03,2.038e+04,3.351e+04
168.4,7.747e+03,4.458e+03,1.909e+04,3.129e+04
170.0,8.069e+03,4.282e+03,2.040e+04,3.275e+04
171.5,9.966e+03,4.574e+03,2.701e+04,4.155e+04
173.1,1.275e+04,5.281e+03,3.666e+04,5.470e+04
174.6,1.195e+04,4.779e+03,3.431e+04,5.104e+04
176.2,1.071e+04,4.196e+03,3.077e+04,4.568e+04
177.7,1.108e+04,4.466e+03,3.201e+04,4.755e+04
179.3,1.203e+04,5.063e+03,3.406e+04,5.116e+04
180.8,1.161e+04,4.992e+03,3.238e+04,4.898e+04
182.4,1.187e+04,5.345e+03,3.268e+04,4.989e+04
183.9,1.357e+04,5.908e+03,3.730e+04,5.678e+04
185.4,1.390e+04,5.662e+03,3.837e+04,5.793e+04
187.0,1.301e+04,5.047e+03,3.624e+04,5.430e+04
188.5,1.099e+04,3.956e+03,3.123e+04,4.618e+04
190.1,9.898e+03,3.173e+03,2.823e+04,4.130e+04
191.6,9.168e+03,2.591e+03,2.635e+04,3.811e+04
193.2,9.314e+03,2.446e+03,2.719e+04,3.895e+04
194.7,1.033e+04,2.700e+03,3.086e+04,4.389e+04
196.3,1.089e+04,2.838e+03,3.310e+04,4.682e+04
197.8,1.185e+04,3.128e+03,3.530e+04,5.028e+04
199.4,1.175e+04,3.126e+03,3.615e+04,5.103e+04
