freq,psd_x,psd_y,psd_z,psd_xyz
0.0,9.430e+01,3.317e+02,1.250e+01,4.385e+02
1.5,6.935e+01,2.093e+02,4.416e+01,3.229e+02
3.1,2.106e+01,5.773e+01,4.823e+01,1.270e+02
4.6,2.237e+01,4.100e+02,4.850e+01,4.809e+02
6.2,2.171e+01,1.431e+03,5.207e+01,1.504e+03
7.7,2.422e+01,2.158e+03,5.880e+01,2.242e+03
9.3,2.546e+01,2.729e+03,5.933e+01,2.814e+03
10.8,2.681e+01,4.077e+03,5.462e+01,4.159e+03
12.4,2.784e+01,5.657e+03,5.303e+01,5.738e+03
13.9,2.760e+01,6.843e+03,5.412e+01,6.925e+03
15.5,2.667e+01,8.779e+03,5.341e+01,8.859e+03
17.0,2.733e+01,1.161e+04,5.281e+01,1.169e+04
18.6,2.657e+01,1.487e+04,5.109e+01,1.495e+04
20.1,3.245e+01,1.863e+04,4.937e+01,1.872e+04
21.7,4.444e+01,2.343e+04,5.304e+01,2.353e+04
23.2,6.550e+01,2.979e+04,5.579e+01,2.991e+04
24.8,1.194e+02,3.880e+04,5.187e+01,3.897e+04
26.3,2.794e+02,5.111e+04,6.580e+01,5.145e+04
27.9,5.743e+02,6.567e+04,1.308e+02,6.637e+04
29.4,1.407e+03,8.165e+04,2.498e+02,8.330e+04
31.0,2.619e+03,8.903e+04,2.844e+02,9.193e+04
32.5,4.547e+03,1.060e+05,1.659e+02,1.107e+05
34.1,8.193e+03,1.282e+05,1.043e+02,1.365e+05
35.6,1.262e+04,1.418e+05,1.393e+02,1.545e+05
37.2,2.088e+04,1.525e+05,1.526e+02,1.736e+05
38.7,5.106e+04,1.399e+05,4.985e+02,1.915e+05
40.3,8.897e+04,1.325e+05,1.080e+03,2.226e+05
41.8,1.251e+05,1.619e+05,9.033e+02,2.879e+05
43.4,1.279e+05,2.016e+05,3.889e+02,3.299e+05
44.9,1.506e+05,2.968e+05,7.293e+02,4.481e+05
46.5,2.330e+05,5.457e+05,2.043e+03,7.807e+05
48.0,2.878e+05,8.210e+05,5.816e+03,1.115e+06
49.6,2.357e+05,7.992e+05,8.602e+03,1.044e+06
51.1,1.811e+05,6.348e+05,5.679e+03,8.216e+05
