freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.578e+01,3.794e+01,2.835e+02,3.472e+02
1.5,5.205e+01,6.238e+01,2.028e+02,3.172e+02
3.1,5.293e+01,6.039e+01,6.465e+01,1.780e+02
4.6,5.839e+01,6.716e+01,3.928e+02,5.184e+02
6.2,5.555e+01,6.871e+01,1.283e+03,1.407e+03
7.7,5.878e+01,6.725e+01,2.096e+03,2.222e+03
9.3,5.697e+01,6.196e+01,2.959e+03,3.078e+03
10.8,5.291e+01,6.008e+01,4.014e+03,4.127e+03
12.4,5.525e+01,5.802e+01,5.362e+03,5.475e+03
13.9,5.426e+01,6.816e+01,7.006e+03,7.128e+03
15.5,5.565e+01,5.721e+01,9.135e+03,9.247e+03
17.0,6.761e+01,8.995e+01,1.148e+04,1.164e+04
18.6,5.267e+01,9.597e+01,1.407e+04,1.422e+04
20.1,4.654e+01,9.719e+01,1.698e+04,1.712e+04
21.7,6.184e+01,9.986e+01,1.933e+04,1.949e+04
23.2,8.110e+01,1.311e+02,2.191e+04,2.212e+04
24.7,8.004e+01,1.887e+02,2.613e+04,2.640e+04
26.3,7.190e+01,2.161e+02,3.191e+04,3.220e+04
27.8,1.131e+02,2.552e+02,3.560e+04,3.597e+04
29.4,1.543e+02,4.038e+02,3.920e+04,3.975e+04
30.9,1.988e+02,5.434e+02,4.598e+04,4.672e+04
32.5,3.721e+02,8.402e+02,5.646e+04,5.767e+04
34.0,6.345e+02,1.539e+03,7.093e+04,7.311e+04
35.6,1.157e+03,2.860e+03,8.881e+04,9.283e+04
37.1,2.113e+03,4.152e+03,1.160e+05,1.223e+05
38.7,4.034e+03,5.513e+03,1.497e+05,1.593e+05
40.2,6.296e+03,6.876e+03,1.880e+05,2.011e+05
41.8,7.253e+03,9.721e+03,2.528e+05,2.698e+05
43.3,7.085e+03,1.697e+04,3.498e+05,3.739e+05
44.9,7.936e+03,2.860e+04,5.098e+05,5.463e+05
46.4,1.135e+04,4.240e+04,6.091e+05,6.629e+05
48.0,1.874e+04,6.136e+04,6.266e+05,7.067e+05
49.5,2.668e+04,8.116e+04,6.361e+05,7.439e+05
51.0,2.504e+04,7.455e+04,4.749e+05,5.745e+05
52.6,2.228e+04,6.535e+04,3.269e+05,4.146e+05
54.1,2.005e+04,5.376e+04,2.464e+05,3.202e+05
55.7,1.510e+04,3.560e+04,1.660e+05,2.167e+05
57.2,1.254e+04,2.463e+04,1.078e+05,1.450e+05
58.8,8.774e+03,1.579e+04,7.711e+04,1.017e+05
60.3,5.923e+03,1.201e+04,6.139e+04,7.932e+04
61.9,5.630e+03,1.102e+04,5.007e+04,6.672e+04
63.4,5.540e+03,9.558e+03,4.467e+04,5.977e+04
65.0,6.183e+03,9.898e+03,4.340e+04,5.948e+04
66.5,7.519e+03,1.151e+04,4.128e+04,6.031e+04
68.1,6.130e+03,1.002e+04,3.687e+04,5.303e+04
69.6,4.917e+03,1.064e+04,3.355e+04,4.911e+04
71.2,5.392e+03,1.455e+04,3.177e+04,5.171e+04
72.7,5.275e+03,1.526e+04,2.981e+04,5.034e+04
74.2,4.847e+03,1.248e+04,2.687e+04,4.420e+04
75.8,4.598e+03,1.066e+04,2.387e+04,3.912e+04
77.3,5.307e+03,1.099e+04,2.034e+04,3.664e+04
78.9,6.242e+03,1.169e+04,1.836e+04,3.630e+04
80.4,6.773e+03,1.137e+04,1.909e+04,3.724e+04
82.0,7.323e+03,1.190e+04,1.922e+04,3.845e+04
83.5,6.782e+03,1.281e+04,1.863e+04,3.822e+04
85.1,4.989e+03,1.202e+04,1.800e+04,3.500e+04
86.6,3.521e+03,1.170e+04,1.788e+04,3.310e+04
88.2,3.237e+03,1.380e+04,1.891e+04,3.594e+04
89.7,3.333e+03,1.571e+04,1.958e+04,3.862e+04
91.3,3.327e+03,1.805e+04,1.897e+04,4.034e+04
92.8,2.619e+03,1.810e+04,1.671e+04,3.743e+04
94.4,2.080e+03,1.703e+04,1.425e+04,3.336e+04
95.9,2.933e+03,1.615e+04,1.217e+04,3.126e+04
97.4,4.868e+03,1.533e+04,1.077e+04,3.097e+04
99.0,6.315e+03,1.452e+04,9.879e+03,3.072e+04
100.5,5.923e+03,1.533e+04,9.716e+03,3.097e+04
102.1,4.810e+03,1.756e+04,9.860e+03,3.223e+04
103.6,4.646e+03,1.965e+04,1.086e+04,3.516e+04
105.2,5.011e+03,1.904e+04,1.162e+04,3.567e+04
106.7,5.542e+03,1.661e+04,1.170e+04,3.385e+04
108.3,5.939e+03,1.504e+04,1.184e+04,3.281e+04
109.8,7.311e+03,1.586e+04,1.194e+04,3.511e+04
111.4,8.929e+03,1.744e+04,1.267e+04,3.904e+04
112.9,1.033e+04,1.930e+04,1.413e+04,4.376e+04
114.5,1.121e+04,1.993e+04,1.530e+04,4.644e+04
116.0,1.207e+04,1.907e+04,1.633e+04,4.747e+04
117.6,1.311e+04,1.892e+04,1.746e+04,4.949e+04
119.1,1.413e+04,1.853e+04,1.867e+04,5.133e+04
120.6,1.198e+04,1.466e+04,1.537e+04,4.201e+04
122.2,9.942e+03,1.174e+04,1.227e+04,3.395e+04
123.7,9.948e+03,1.148e+04,1.109e+04,3.252e+04
125.3,1.418e+04,1.629e+04,1.483e+04,4.530e+04
126.8,2.176e+04,2.177e+04,2.302e+04,6.655e+04
128.4,2.407e+04,1.852e+04,2.950e+04,7.208e+04
129.9,2.620e+04,1.502e+04,3.673e+04,7.795e+04
131.5,3.554e+04,1.792e+04,5.138e+04,1.048e+05
133.0,3.627e+04,2.228e+04,5.962e+04,1.182e+05
134.6,2.744e+04,2.444e+04,6.110e+04,1.130e+05
136.1,2.887e+04,2.669e+04,7.014e+04,1.257e+05
137.7,2.892e+04,2.585e+04,7.455e+04,1.293e+05
139.2,2.964e+04,2.556e+04,8.269e+04,1.379e+05
140.8,3.190e+04,2.527e+04,9.227e+04,1.495e+05
142.3,3.475e+04,2.440e+04,1.012e+05,1.603e+05
143.9,3.621e+04,2.210e+04,1.092e+05,1.675e+05
145.4,3.944e+04,2.122e+04,1.247e+05,1.854e+05
146.9,4.094e+04,2.079e+04,1.333e+05,1.950e+05
148.5,4.019e+04,1.899e+04,1.360e+05,1.952e+05
150.0,3.720e+04,1.698e+04,1.238e+05,1.780e+05
151.6,3.539e+04,1.585e+04,1.094e+05,1.606e+05
153.1,3.182e+04,1.410e+04,9.346e+04,1.394e+05
154.7,2.561e+04,1.159e+04,7.231e+04,1.095e+05
156.2,2.039e+04,9.446e+03,5.450e+04,8.434e+04
157.8,1.784e+04,8.389e+03,4.549e+04,7.172e+04
159.3,1.731e+04,8.015e+03,4.301e+04,6.834e+04
160.9,1.735e+04,7.988e+03,4.313e+04,6.847e+04
162.4,1.653e+04,7.672e+03,4.136e+04,6.555e+04
164.0,1.453e+04,6.669e+03,3.707e+04,5.826e+04
165.5,1.267e+04,5.639e+03,3.266e+04,5.096e+04
167.1,1.166e+04,4.739e+03,3.021e+04,4.661e+04
168.6,1.160e+04,4.294e+03,3.050e+04,4.639e+04
170.1,1.188e+04,3.964e+03,3.230e+04,4.814e+04
171.7,1.188e+04,3.748e+03,3.369e+04,4.932e+04
173.2,1.074e+04,3.112e+03,3.100e+04,4.485e+04
174.8,9.537e+03,2.235e+03,2.635e+04,3.812e+04
176.3,8.868e+03,1.624e+03,2.321e+04,3.370e+04
177.9,7.890e+03,1.358e+03,2.038e+04,2.962e+04
179.4,7.148e+03,1.177e+03,1.861e+04,2.693e+04
181.0,6.825e+03,9.258e+02,1.874e+04,2.649e+04
182.5,6.741e+03,8.157e+02,1.843e+04,2.599e+04
184.1,6.171e+03,7.066e+02,1.737e+04,2.425e+04
185.6,5.717e+03,6.374e+02,1.663e+04,2.299e+04
187.2,5.595e+03,5.762e+02,1.658e+04,2.275e+04
188.7,6.231e+03,7.418e+02,1.895e+04,2.593e+04
190.3,6.536e+03,8.173e+02,2.052e+04,2.787e+04
191.8,6.234e+03,8.009e+02,2.024e+04,2.727e+04
193.3,5.926e+03,7.042e+02,2.011e+04,2.674e+04
194.9,6.064e+03,9.334e+02,2.115e+04,2.815e+04
196.4,5.314e+03,1.063e+03,1.793e+04,2.430e+04
198.0,4.720e+03,1.313e+03,1.541e+04,2.144e+04
199.5,4.722e+03,1.434e+03,1.526e+04,2.141e+04
