freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.627e+01,2.388e+02,1.030e+01,2.853e+02
1.5,3.635e+01,1.536e+02,4.428e+01,2.342e+02
3.1,2.011e+01,3.696e+01,4.833e+01,1.054e+02
4.6,2.065e+01,3.509e+02,4.809e+01,4.196e+02
6.2,2.474e+01,1.263e+03,5.193e+01,1.340e+03
7.7,2.843e+01,2.104e+03,5.155e+01,2.183e+03
9.2,2.829e+01,3.012e+03,5.203e+01,3.092e+03
10.8,2.669e+01,4.414e+03,5.656e+01,4.498e+03
12.3,2.776e+01,6.675e+03,5.535e+01,6.758e+03
13.8,2.936e+01,9.536e+03,5.442e+01,9.619e+03
15.4,4.697e+01,1.268e+04,5.708e+01,1.279e+04
16.9,1.164e+02,1.351e+04,5.919e+01,1.368e+04
18.5,1.140e+02,1.515e+04,6.190e+01,1.533e+04
20.0,6.780e+01,2.079e+04,6.174e+01,2.092e+04
21.5,4.676e+01,2.746e+04,6.387e+01,2.757e+04
23.1,6.323e+01,3.556e+04,7.152e+01,3.569e+04
24.6,1.793e+02,4.415e+04,8.079e+01,4.441e+04
26.1,3.300e+02,5.436e+04,1.220e+02,5.481e+04
27.7,4.742e+02,6.580e+04,1.328e+02,6.640e+04
29.2,3.770e+02,8.509e+04,1.372e+02,8.560e+04
30.8,1.542e+02,1.131e+05,1.587e+02,1.134e+05
32.3,2.935e+02,1.565e+05,1.331e+02,1.569e+05
33.8,1.699e+03,2.218e+05,1.403e+02,2.236e+05
35.4,4.658e+03,2.811e+05,9.804e+01,2.858e+05
36.9,1.193e+04,3.204e+05,1.067e+02,3.324e+05
38.5,1.968e+04,2.775e+05,2.665e+02,2.975e+05
40.0,2.000e+04,1.982e+05,4.173e+02,2.186e+05
41.5,2.127e+04,1.437e+05,4.492e+02,1.654e+05
43.1,2.532e+04,1.039e+05,5.400e+02,1.298e+05
44.6,3.357e+04,7.827e+04,8.497e+02,1.127e+05
46.1,4.079e+04,6.508e+04,1.430e+03,1.073e+05
47.7,4.459e+04,5.747e+04,1.903e+03,1.040e+05
49.2,4.668e+04,5.071e+04,1.980e+03,9.937e+04
50.8,5.024e+04,4.677e+04,1.472e+03,9.848e+04
52.3,5.936e+04,5.507e+04,1.003e+03,1.154e+05
53.8,6.699e+04,6.724e+04,1.451e+03,1.357e+05
55.4,6.764e+04,7.660e+04,2.325e+03,1.466e+05
56.9,6.271e+04,7.925e+04,3.189e+03,1.452e+05
58.4,6.139e+04,8.161e+04,3.354e+03,1.464e+05
60.0,6.426e+04,9.634e+04,3.150e+03,1.638e+05
61.5,6.116e+04,1.011e+05,2.752e+03,1.650e+05
63.1,5.375e+04,9.493e+04,2.037e+03,1.507e+05
64.6,4.888e+04,9.298e+04,1.712e+03,1.436e+05
66.1,4.604e+04,9.162e+04,1.636e+03,1.393e+05
67.7,4.521e+04,9.259e+04,1.398e+03,1.392e+05
69.2,4.661e+04,9.934e+04,1.468e+03,1.474e+05
70.7,4.573e+04,9.942e+04,2.034e+03,1.472e+05
72.3,4.192e+04,9.246e+04,2.715e+03,1.371e+05
73.8,3.634e+04,8.179e+04,2.773e+03,1.209e+05
75.4,2.958e+04,6.794e+04,2.127e+03,9.964e+04
76.9,2.345e+04,5.484e+04,1.663e+03,7.996e+04
78.4,1.807e+04,4.351e+04,8.623e+02,6.244e+04
80.0,1.430e+04,3.472e+04,4.293e+02,4.945e+04
81.5,1.152e+04,2.925e+04,3.694e+02,4.114e+04
83.1,9.626e+03,2.653e+04,4.812e+02,3.663e+04
84.6,8.874e+03,2.599e+04,5.674e+02,3.543e+04
86.1,7.965e+03,2.396e+04,5.408e+02,3.246e+04
87.7,7.140e+03,2.209e+04,5.820e+02,2.981e+04
89.2,6.123e+03,2.247e+04,6.213e+02,2.921e+04
90.7,4.985e+03,2.436e+04,6.866e+02,3.004e+04
92.3,4.078e+03,2.800e+04,1.071e+03,3.315e+04
93.8,2.883e+03,2.935e+04,1.986e+03,3.422e+04
95.4,1.901e+03,3.026e+04,3.627e+03,3.579e+04
96.9,1.562e+03,2.983e+04,4.325e+03,3.571e+04
