freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.514e+01,2.958e+01,2.408e+02,2.855e+02
1.6,2.663e+01,8.251e+01,1.748e+02,2.839e+02
3.1,2.779e+01,1.088e+02,5.451e+01,1.911e+02
4.7,2.805e+01,1.172e+02,3.764e+02,5.216e+02
6.2,2.845e+01,1.144e+02,1.314e+03,1.457e+03
7.8,2.778e+01,1.225e+02,2.101e+03,2.252e+03
9.3,2.494e+01,1.231e+02,2.740e+03,2.889e+03
10.9,2.686e+01,1.373e+02,3.704e+03,3.868e+03
12.4,2.699e+01,1.244e+02,4.922e+03,5.073e+03
14.0,2.613e+01,1.185e+02,6.409e+03,6.554e+03
15.5,2.917e+01,1.319e+02,8.194e+03,8.355e+03
17.1,3.301e+01,1.207e+02,1.042e+04,1.057e+04
18.6,4.098e+01,1.333e+02,1.310e+04,1.328e+04
20.2,9.209e+01,1.382e+02,1.579e+04,1.602e+04
21.7,9.215e+01,1.408e+02,1.833e+04,1.856e+04
23.3,4.509e+01,1.544e+02,2.238e+04,2.258e+04
24.8,3.410e+01,1.898e+02,2.767e+04,2.789e+04
26.4,3.535e+01,2.624e+02,3.470e+04,3.500e+04
27.9,4.814e+01,2.966e+02,4.072e+04,4.106e+04
29.5,7.925e+01,2.651e+02,4.223e+04,4.257e+04
31.0,1.536e+02,3.305e+02,4.501e+04,4.549e+04
32.6,3.733e+02,5.668e+02,5.077e+04,5.171e+04
34.1,6.998e+02,1.011e+03,6.394e+04,6.565e+04
35.7,8.966e+02,1.479e+03,8.213e+04,8.450e+04
37.2,9.061e+02,2.115e+03,1.071e+05,1.101e+05
38.8,1.098e+03,2.935e+03,1.380e+05,1.421e+05
40.3,2.463e+03,3.759e+03,1.706e+05,1.768e+05
41.9,4.920e+03,5.289e+03,2.302e+05,2.404e+05
43.4,7.101e+03,8.740e+03,3.022e+05,3.181e+05
45.0,1.145e+04,1.423e+04,4.160e+05,4.417e+05
46.5,1.569e+04,1.939e+04,4.669e+05,5.019e+05
48.1,1.755e+04,2.158e+04,3.974e+05,4.365e+05
49.6,1.808e+04,2.342e+04,3.505e+05,3.920e+05
51.2,1.723e+04,2.334e+04,3.285e+05,3.691e+05
52.7,1.356e+04,2.124e+04,2.965e+05,3.313e+05
54.3,1.618e+04,2.664e+04,2.803e+05,3.231e+05
55.8,1.698e+04,2.740e+04,2.506e+05,2.950e+05
57.4,1.271e+04,2.257e+04,1.816e+05,2.169e+05
58.9,9.773e+03,1.826e+04,1.223e+05,1.503e+05
60.5,7.813e+03,1.559e+04,9.603e+04,1.194e+05
62.0,5.741e+03,1.160e+04,7.875e+04,9.609e+04
63.6,3.898e+03,7.238e+03,6.591e+04,7.704e+04
65.1,3.297e+03,5.600e+03,5.976e+04,6.866e+04
66.7,3.140e+03,5.046e+03,5.640e+04,6.459e+04
68.2,3.674e+03,5.887e+03,5.235e+04,6.191e+04
69.8,6.124e+03,1.098e+04,5.434e+04,7.144e+04
71.3,9.947e+03,1.782e+04,5.846e+04,8.623e+04
72.9,1.182e+04,2.084e+04,5.986e+04,9.252e+04
74.4,1.230e+04,2.188e+04,5.598e+04,9.015e+04
76.0,1.207e+04,2.217e+04,5.154e+04,8.578e+04
77.5,1.108e+04,1.991e+04,4.601e+04,7.700e+04
79.1,1.171e+04,2.014e+04,4.159e+04,7.344e+04
80.6,1.152e+04,2.014e+04,3.937e+04,7.102e+04
82.2,1.083e+04,2.110e+04,3.774e+04,6.966e+04
83.7,1.011e+04,2.224e+04,3.681e+04,6.916e+04
