freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.999e+01,3.761e+01,2.394e+02,3.070e+02
1.5,9.983e+01,1.126e+02,1.717e+02,3.842e+02
3.1,1.578e+02,1.737e+02,5.868e+01,3.901e+02
4.6,1.932e+02,2.288e+02,3.650e+02,7.870e+02
6.2,1.679e+02,2.286e+02,1.249e+03,1.646e+03
7.7,1.246e+02,1.575e+02,1.988e+03,2.270e+03
9.3,1.338e+02,1.409e+02,2.851e+03,3.126e+03
10.8,1.280e+02,1.267e+02,3.960e+03,4.215e+03
12.4,1.317e+02,1.303e+02,5.156e+03,5.418e+03
13.9,1.393e+02,1.439e+02,6.595e+03,6.878e+03
15.4,1.610e+02,1.668e+02,8.539e+03,8.867e+03
17.0,1.765e+02,2.423e+02,1.086e+04,1.128e+04
18.5,1.467e+02,2.201e+02,1.336e+04,1.373e+04
20.1,1.561e+02,1.642e+02,1.558e+04,1.590e+04
21.6,1.990e+02,1.829e+02,1.754e+04,1.792e+04
23.2,3.161e+02,2.360e+02,2.034e+04,2.089e+04
24.7,4.455e+02,3.835e+02,2.428e+04,2.511e+04
26.2,3.916e+02,4.765e+02,2.862e+04,2.948e+04
27.8,5.179e+02,4.677e+02,3.127e+04,3.225e+04
29.3,5.673e+02,4.314e+02,3.339e+04,3.439e+04
30.9,3.842e+02,4.322e+02,3.896e+04,3.977e+04
32.4,2.978e+02,4.924e+02,4.717e+04,4.796e+04
34.0,3.448e+02,7.442e+02,5.823e+04,5.932e+04
35.5,5.050e+02,1.305e+03,7.250e+04,7.431e+04
37.1,9.518e+02,2.036e+03,9.135e+04,9.434e+04
38.6,1.991e+03,2.456e+03,1.153e+05,1.198e+05
40.1,3.217e+03,3.059e+03,1.429e+05,1.492e+05
41.7,4.847e+03,4.920e+03,1.889e+05,1.987e+05
43.2,5.981e+03,8.210e+03,2.501e+05,2.643e+05
44.8,6.462e+03,1.149e+04,3.225e+05,3.404e+05
46.3,7.142e+03,1.569e+04,3.858e+05,4.086e+05
47.9,1.032e+04,2.391e+04,4.602e+05,4.944e+05
49.4,1.468e+04,3.465e+04,5.461e+05,5.955e+05
51.0,1.579e+04,3.963e+04,5.286e+05,5.840e+05
52.5,1.655e+04,4.227e+04,4.531e+05,5.119e+05
54.0,1.765e+04,4.443e+04,3.545e+05,4.166e+05
55.6,1.568e+04,3.777e+04,2.269e+05,2.803e+05
57.1,1.231e+04,2.649e+04,1.432e+05,1.820e+05
58.7,7.936e+03,1.730e+04,1.071e+05,1.323e+05
60.2,6.376e+03,1.683e+04,8.791e+04,1.111e+05
61.8,7.384e+03,1.812e+04,7.350e+04,9.900e+04
63.3,7.350e+03,1.676e+04,6.439e+04,8.849e+04
64.8,7.641e+03,1.728e+04,5.714e+04,8.206e+04
66.4,7.365e+03,1.638e+04,5.154e+04,7.529e+04
67.9,4.960e+03,1.389e+04,4.695e+04,6.579e+04
69.5,4.513e+03,1.772e+04,4.472e+04,6.695e+04
71.0,5.332e+03,2.264e+04,4.326e+04,7.123e+04
72.6,5.396e+03,2.319e+04,4.090e+04,6.948e+04
74.1,5.328e+03,2.099e+04,3.785e+04,6.416e+04
75.7,6.279e+03,1.937e+04,3.589e+04,6.154e+04
77.2,7.997e+03,1.887e+04,3.642e+04,6.328e+04
78.7,9.840e+03,2.042e+04,3.764e+04,6.789e+04
80.3,1.073e+04,2.302e+04,3.548e+04,6.923e+04
81.8,9.715e+03,2.361e+04,3.127e+04,6.460e+04
83.4,7.471e+03,2.266e+04,2.934e+04,5.947e+04
84.9,5.924e+03,2.221e+04,2.893e+04,5.707e+04
86.5,6.135e+03,2.134e+04,2.795e+04,5.542e+04
88.0,7.352e+03,1.977e+04,2.626e+04,5.337e+04
89.6,9.126e+03,1.911e+04,2.326e+04,5.150e+04
91.1,9.683e+03,1.851e+04,2.035e+04,4.854e+04
92.6,8.597e+03,1.636e+04,1.864e+04,4.360e+04
94.2,7.941e+03,1.337e+04,1.725e+04,3.856e+04
95.7,8.635e+03,1.103e+04,1.551e+04,3.518e+04
97.3,9.208e+03,1.069e+04,1.372e+04,3.362e+04
98.8,9.277e+03,1.096e+04,1.238e+04,3.262e+04
100.4,8.743e+03,1.336e+04,1.118e+04,3.329e+04
101.9,7.324e+03,1.586e+04,1.010e+04,3.329e+04
103.4,5.995e+03,1.597e+04,9.092e+03,3.106e+04
105.0,5.631e+03,1.571e+04,8.876e+03,3.022e+04
106.5,6.458e+03,1.625e+04,1.014e+04,3.285e+04
108.1,7.853e+03,1.804e+04,1.180e+04,3.770e+04
109.6,9.782e+03,2.123e+04,1.204e+04,4.305e+04
111.2,1.136e+04,2.452e+04,1.166e+04,4.754e+04
112.7,1.162e+04,2.362e+04,1.027e+04,4.551e+04
114.3,1.140e+04,2.088e+04,9.021e+03,4.130e+04
115.8,1.197e+04,1.954e+04,8.143e+03,3.965e+04
117.3,1.352e+04,1.996e+04,9.226e+03,4.271e+04
118.9,1.418e+04,1.874e+04,1.044e+04,4.336e+04
120.4,1.414e+04,1.614e+04,1.083e+04,4.110e+04
122.0,1.458e+04,1.467e+04,1.166e+04,4.091e+04
123.5,1.637e+04,1.593e+04,1.436e+04,4.666e+04
