freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.997e+00,4.799e+00,1.269e+02,1.347e+02
1.5,1.421e+01,1.852e+01,1.112e+02,1.440e+02
3.1,1.671e+01,2.010e+01,5.408e+01,9.089e+01
4.6,1.624e+01,1.897e+01,3.382e+02,3.734e+02
6.2,1.700e+01,1.972e+01,1.166e+03,1.202e+03
7.7,1.868e+01,2.183e+01,1.876e+03,1.917e+03
9.3,1.858e+01,2.269e+01,2.613e+03,2.654e+03
10.8,1.805e+01,2.089e+01,3.435e+03,3.474e+03
12.4,1.768e+01,1.974e+01,4.237e+03,4.275e+03
13.9,1.773e+01,2.155e+01,5.482e+03,5.521e+03
15.5,1.803e+01,2.287e+01,7.220e+03,7.260e+03
17.0,2.013e+01,2.837e+01,9.583e+03,9.632e+03
18.6,2.174e+01,3.780e+01,1.281e+04,1.287e+04
20.1,2.056e+01,3.821e+01,1.487e+04,1.493e+04
21.7,1.858e+01,2.645e+01,1.575e+04,1.580e+04
23.2,1.787e+01,3.019e+01,1.834e+04,1.839e+04
24.7,1.833e+01,3.558e+01,2.184e+04,2.190e+04
26.3,2.046e+01,4.226e+01,2.518e+04,2.524e+04
27.8,2.203e+01,5.155e+01,2.708e+04,2.715e+04
29.4,2.387e+01,5.317e+01,3.203e+04,3.211e+04
30.9,2.614e+01,5.362e+01,3.720e+04,3.728e+04
32.5,3.254e+01,3.452e+01,3.858e+04,3.865e+04
34.0,3.975e+01,2.451e+01,4.268e+04,4.275e+04
35.6,5.331e+01,4.121e+01,4.902e+04,4.911e+04
37.1,1.001e+02,8.401e+01,6.195e+04,6.213e+04
38.7,2.278e+02,1.297e+02,7.076e+04,7.112e+04
40.2,2.484e+02,2.096e+02,6.880e+04,6.926e+04
41.8,1.230e+02,2.735e+02,7.602e+04,7.642e+04
43.3,6.961e+01,3.694e+02,7.734e+04,7.778e+04
44.9,8.772e+01,5.089e+02,7.323e+04,7.383e+04
46.4,1.554e+02,6.646e+02,8.722e+04,8.804e+04
