freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.572e+01,2.977e+02,1.071e+01,3.342e+02
1.5,3.397e+01,1.867e+02,4.608e+01,2.667e+02
3.1,2.443e+01,3.624e+01,4.849e+01,1.092e+02
4.6,2.497e+01,3.732e+02,5.295e+01,4.512e+02
6.2,2.569e+01,1.294e+03,5.483e+01,1.374e+03
7.7,2.457e+01,2.105e+03,5.235e+01,2.182e+03
9.3,2.723e+01,3.048e+03,5.140e+01,3.127e+03
10.8,2.777e+01,4.526e+03,5.293e+01,4.607e+03
12.4,2.890e+01,6.856e+03,5.450e+01,6.939e+03
13.9,2.817e+01,9.785e+03,5.573e+01,9.869e+03
15.5,3.140e+01,1.306e+04,5.399e+01,1.315e+04
17.0,6.285e+01,1.513e+04,7.263e+01,1.526e+04
18.6,7.940e+01,1.701e+04,9.871e+01,1.719e+04
20.1,6.564e+01,2.184e+04,1.354e+02,2.204e+04
21.7,7.207e+01,2.770e+04,9.255e+01,2.786e+04
23.2,6.111e+01,3.497e+04,5.834e+01,3.509e+04
24.7,5.739e+01,4.547e+04,5.680e+01,4.559e+04
26.3,8.192e+01,5.929e+04,9.562e+01,5.947e+04
27.8,1.209e+02,8.064e+04,2.178e+02,8.098e+04
29.4,1.481e+02,1.129e+05,3.474e+02,1.134e+05
30.9,1.529e+02,1.539e+05,7.014e+02,1.547e+05
32.5,3.136e+02,2.133e+05,1.103e+03,2.147e+05
34.0,6.139e+02,2.914e+05,1.215e+03,2.932e+05
35.6,1.419e+03,3.580e+05,1.251e+03,3.607e+05
37.1,1.840e+03,4.119e+05,9.261e+02,4.146e+05
38.7,2.974e+03,4.715e+05,1.170e+03,4.756e+05
40.2,3.890e+03,4.822e+05,1.326e+03,4.874e+05
41.8,4.457e+03,4.189e+05,9.418e+02,4.243e+05
43.3,4.807e+03,2.969e+05,7.055e+02,3.024e+05
44.8,5.397e+03,1.965e+05,5.698e+02,2.025e+05
46.4,7.945e+03,1.556e+05,4.838e+02,1.640e+05
47.9,1.309e+04,1.322e+05,3.435e+02,1.456e+05
49.5,1.995e+04,1.064e+05,2.432e+02,1.266e+05
51.0,2.756e+04,8.048e+04,2.426e+02,1.083e+05
52.6,3.447e+04,5.766e+04,2.113e+02,9.234e+04
54.1,3.699e+04,3.743e+04,1.665e+02,7.458e+04
55.7,3.449e+04,2.082e+04,1.638e+02,5.548e+04
57.2,3.854e+04,1.165e+04,2.286e+02,5.042e+04
58.8,4.517e+04,8.940e+03,2.720e+02,5.438e+04
60.3,5.174e+04,1.417e+04,5.303e+02,6.644e+04
61.9,5.800e+04,2.954e+04,1.397e+03,8.893e+04
63.4,5.851e+04,4.847e+04,3.168e+03,1.101e+05
65.0,5.469e+04,6.028e+04,4.471e+03,1.194e+05
66.5,5.110e+04,6.281e+04,3.844e+03,1.178e+05
68.0,5.050e+04,6.154e+04,2.974e+03,1.150e+05
69.6,5.321e+04,6.291e+04,3.424e+03,1.195e+05
71.1,5.501e+04,6.390e+04,4.539e+03,1.234e+05
72.7,5.577e+04,6.619e+04,4.961e+03,1.269e+05
74.2,5.041e+04,6.361e+04,5.056e+03,1.191e+05
75.8,4.648e+04,6.355e+04,4.921e+03,1.149e+05
77.3,4.843e+04,7.202e+04,4.315e+03,1.248e+05
78.9,4.393e+04,6.894e+04,2.951e+03,1.158e+05
80.4,3.603e+04,5.713e+04,1.546e+03,9.471e+04
82.0,3.757e+04,5.890e+04,7.470e+02,9.722e+04
83.5,3.208e+04,5.101e+04,5.538e+02,8.364e+04
85.1,2.449e+04,4.093e+04,5.820e+02,6.600e+04
86.6,1.817e+04,3.738e+04,7.225e+02,5.627e+04
88.2,1.202e+04,3.939e+04,9.616e+02,5.237e+04
89.7,7.589e+03,4.655e+04,1.358e+03,5.549e+04
91.2,3.917e+03,4.782e+04,1.756e+03,5.349e+04
92.8,2.187e+03,4.390e+04,1.911e+03,4.800e+04
94.3,1.584e+03,4.013e+04,1.789e+03,4.351e+04
95.9,1.596e+03,3.911e+04,1.566e+03,4.227e+04
97.4,1.687e+03,4.293e+04,1.172e+03,4.579e+04
99.0,2.160e+03,4.869e+04,9.828e+02,5.184e+04
100.5,3.978e+03,5.223e+04,1.725e+03,5.793e+04
102.1,8.299e+03,5.584e+04,3.255e+03,6.739e+04
103.6,1.343e+04,5.875e+04,3.794e+03,7.597e+04
105.2,1.614e+04,5.673e+04,2.678e+03,7.555e+04
106.7,1.754e+04,5.386e+04,1.711e+03,7.311e+04
108.3,1.751e+04,4.860e+04,1.565e+03,6.768e+04
109.8,1.648e+04,4.155e+04,1.595e+03,5.962e+04
111.3,1.485e+04,3.629e+04,1.617e+03,5.276e+04
112.9,1.345e+04,3.420e+04,1.711e+03,4.936e+04
114.4,1.216e+04,3.316e+04,1.965e+03,4.728e+04
116.0,1.092e+04,3.110e+04,2.190e+03,4.421e+04
117.5,1.048e+04,3.000e+04,2.350e+03,4.283e+04
119.1,1.092e+04,3.013e+04,2.570e+03,4.361e+04
120.6,1.122e+04,2.844e+04,2.862e+03,4.251e+04
122.2,1.112e+04,2.724e+04,3.293e+03,4.165e+04
123.7,1.091e+04,2.924e+04,3.616e+03,4.376e+04
125.3,1.018e+04,3.359e+04,3.640e+03,4.741e+04
126.8,8.476e+03,3.883e+04,3.714e+03,5.102e+04
